,name of company,college name,region,year
668,Atos,Xavier Institute of Engineering,Mumbai,2018
669,L&T; Infotech,Xavier Institute of Engineering,Mumbai,2018
670,Toppr.com,Xavier Institute of Engineering,Mumbai,2018
671,BNP,Xavier Institute of Engineering,Mumbai,2018
672,Byju's,Xavier Institute of Engineering,Mumbai,2018
673,eClinicalWorks,Xavier Institute of Engineering,Mumbai,2018
674,Alpha Plus,Xavier Institute of Engineering,Mumbai,2018
675,Vistaar,Xavier Institute of Engineering,Mumbai,2018
676,Seclore,Xavier Institute of Engineering,Mumbai,2018
677,Bitwise,Xavier Institute of Engineering,Mumbai,2018
678,Zycus,Xavier Institute of Engineering,Mumbai,2018
679,Mouthshut.com,Xavier Institute of Engineering,Mumbai,2018
680,Reliance Jio,Xavier Institute of Engineering,Mumbai,2018
681,Zeus Learning,Xavier Institute of Engineering,Mumbai,2018
682,V2S Tech,Xavier Institute of Engineering,Mumbai,2018
683,L&T; Infotech,Xavier Institute of Engineering,Mumbai,2018
684,Atos,Xavier Institute of Engineering,Mumbai,2018
685,Qspider,Xavier Institute of Engineering,Mumbai,2018
686,CapGemini,Xavier Institute of Engineering,Mumbai,2018
687,Zycus,Xavier Institute of Engineering,Mumbai,2018
688,BNP Paribas,Xavier Institute of Engineering,Mumbai,2018
689,eClinicalWorks,Xavier Institute of Engineering,Mumbai,2018
690,NSE IT,Xavier Institute of Engineering,Mumbai,2018
691,Endurance,Xavier Institute of Engineering,Mumbai,2018
692,Hexaware,Xavier Institute of Engineering,Mumbai,2018
693,Vistaar,Xavier Institute of Engineering,Mumbai,2018
694,Xoriant,Xavier Institute of Engineering,Mumbai,2018
695,BNED Loud cloud,Xavier Institute of Engineering,Mumbai,2018
696,Hunter Lab,Xavier Institute of Engineering,Mumbai,2018
697,Amazon Web Services,Xavier Institute of Engineering,Mumbai,2018
698,Board Infinity,Xavier Institute of Engineering,Mumbai,2018
699,Network 18,Xavier Institute of Engineering,Mumbai,2018
700,Alpha Plus,Xavier Institute of Engineering,Mumbai,2018
701,Thirdware,Xavier Institute of Engineering,Mumbai,2018
702,Acrotrend,Xavier Institute of Engineering,Mumbai,2018
703,QAD,Xavier Institute of Engineering,Mumbai,2018
704,Pepperfry,Xavier Institute of Engineering,Mumbai,2018
705,Syntel,Xavier Institute of Engineering,Mumbai,2018
706,Capita,Xavier Institute of Engineering,Mumbai,2018
707,Capgemini,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
708,Bitwise,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
709,L & T InfoTech,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
710,Accenture,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
711,Atidan,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
712,Mastek,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
713,Torrent power,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
714,Hexaware Techn,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
715,Exadatum,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
716,HCL Systems,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
717,Johnson Controls,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
718,Honeywell,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
719,Siemens,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
720,EMCO,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
721,Mastek,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
722,Neosoft Technologies,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
723,Nucsoft,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
724,Syntel India Ltd.,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
725,VVF Ltd.,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
726,Savita Chemicals,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
727,Logicon,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
728,Amazon,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
729,Squad infotech,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
730,Polaris Software,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
731,Reliance Jio,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
732,Acty systems,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
733,XL dynamics,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
734,Metro One,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
735,Milesoft,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
736,Allerin Technologies,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
737,Tech Int,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
738,TCS,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
739,Swabhav Tech Labs,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
740,Sikraft Technologies,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
741,Emco,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
742,Persistent Technologies,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
743,Vector Projects,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
744,Acty Sysytems,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
745,Quinnox Technologies,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
746,Merce Technologies,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
747,Intertec Software,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
748,Tejas Networking,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
749,Emerson,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
750,Mphasis,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
751,Visa Power tech,Smt. Indira Gandhi College Of Engineering,Navi Mumbai,2018
752,ACCENTURE,Thadomal Shahani Engineering College,Mumbai,2018
753,AMDOCS,Thadomal Shahani Engineering College,Mumbai,2018
754,ORACLE,Thadomal Shahani Engineering College,Mumbai,2018
755,INFOSYS,Thadomal Shahani Engineering College,Mumbai,2018
756,WORKS APPLICATION,Thadomal Shahani Engineering College,Mumbai,2018
757,MORGAN STANLEY,Thadomal Shahani Engineering College,Mumbai,2018
758,TECH MAHINDRA,Thadomal Shahani Engineering College,Mumbai,2018
759,LARSEN & TOUBRO IT,Thadomal Shahani Engineering College,Mumbai,2018
760,TATA,Thadomal Shahani Engineering College,Mumbai,2018
761,CAPGEMINI,Thadomal Shahani Engineering College,Mumbai,2018
762,ATOS ORIGIN,Thadomal Shahani Engineering College,Mumbai,2018
763,SIEMENS,Thadomal Shahani Engineering College,Mumbai,2018
764,MAESTROS ,Thadomal Shahani Engineering College,Mumbai,2018
765,RELIANCE,Thadomal Shahani Engineering College,Mumbai,2018
766,PWC,Thadomal Shahani Engineering College,Mumbai,2018
767,BYJU'S,Thadomal Shahani Engineering College,Mumbai,2018
768,VISTAAR,Thadomal Shahani Engineering College,Mumbai,2018
769,DELOITTE,Thadomal Shahani Engineering College,Mumbai,2018
770,SAP,Thadomal Shahani Engineering College,Mumbai,2018
771,BARCLAYS,Thadomal Shahani Engineering College,Mumbai,2018
772,JACOB'S,Thadomal Shahani Engineering College,Mumbai,2018
773,BNP PARIBAS,Thadomal Shahani Engineering College,Mumbai,2018
774,JIO,Thadomal Shahani Engineering College,Mumbai,2018
775,QUINNOX,Thadomal Shahani Engineering College,Mumbai,2018
776,MEDITAB,Thadomal Shahani Engineering College,Mumbai,2018
777,MEDTRONIC,Thadomal Shahani Engineering College,Mumbai,2018
778,TRANSASIA,Thadomal Shahani Engineering College,Mumbai,2018
779,JP MORGAN,Thadomal Shahani Engineering College,Mumbai,2018
780,MEDIA.NET,Thadomal Shahani Engineering College,Mumbai,2018
781,DIRECTI,Thadomal Shahani Engineering College,Mumbai,2018
782,EY,Thadomal Shahani Engineering College,Mumbai,2018
783,TEACH FOR INDIA,Thadomal Shahani Engineering College,Mumbai,2018
784,SECLORE,Thadomal Shahani Engineering College,Mumbai,2018
785,Morgan Stanley,Ramrao Adik Institute of Technology,Navi Mumbai,2016
786,J.P. Morgan  & Chase,Ramrao Adik Institute of Technology,Navi Mumbai,2016
787,Tata Consultancy Services,Ramrao Adik Institute of Technology,Navi Mumbai,2016
788,Tech-Mahindra,Ramrao Adik Institute of Technology,Navi Mumbai,2016
789,I-gate,Ramrao Adik Institute of Technology,Navi Mumbai,2016
790,Protigrity,Ramrao Adik Institute of Technology,Navi Mumbai,2016
791,Persistent Systems,Ramrao Adik Institute of Technology,Navi Mumbai,2016
792,Ingram Micro Pvt  Ltd,Ramrao Adik Institute of Technology,Navi Mumbai,2016
793,GEP,Ramrao Adik Institute of Technology,Navi Mumbai,2016
794,Mirraw Infotech,Ramrao Adik Institute of Technology,Navi Mumbai,2016
795,Fractal Analytics,Ramrao Adik Institute of Technology,Navi Mumbai,2016
796,LnT Infotech,Ramrao Adik Institute of Technology,Navi Mumbai,2016
797,Paramatrix,Ramrao Adik Institute of Technology,Navi Mumbai,2016
798,Indian Navy,Ramrao Adik Institute of Technology,Navi Mumbai,2016
799,Atos India Ltd.,Ramrao Adik Institute of Technology,Navi Mumbai,2016
800,SMG Convonix,Ramrao Adik Institute of Technology,Navi Mumbai,2016
801,E-Emphasys,Ramrao Adik Institute of Technology,Navi Mumbai,2016
802,Teradata,Ramrao Adik Institute of Technology,Navi Mumbai,2016
803,Zeus elearning,Ramrao Adik Institute of Technology,Navi Mumbai,2016
804,Vistaar Solutions,Ramrao Adik Institute of Technology,Navi Mumbai,2016
805,Reliance jio (4G),Ramrao Adik Institute of Technology,Navi Mumbai,2016
806,Ericsson,Ramrao Adik Institute of Technology,Navi Mumbai,2016
807,Reliance Retail,Ramrao Adik Institute of Technology,Navi Mumbai,2016
808,Alepo Technologies,Ramrao Adik Institute of Technology,Navi Mumbai,2016
809,ZTE,Ramrao Adik Institute of Technology,Navi Mumbai,2016
810,BYJU's (Think & Learn),Ramrao Adik Institute of Technology,Navi Mumbai,2016
811,Deepak Fertilizers,Ramrao Adik Institute of Technology,Navi Mumbai,2016
812,Schneider Electric,Ramrao Adik Institute of Technology,Navi Mumbai,2016
813,Semikron,Ramrao Adik Institute of Technology,Navi Mumbai,2016
814,GE Healthcare Internship,Ramrao Adik Institute of Technology,Navi Mumbai,2017
815,J.P. Morgan & Chase,Ramrao Adik Institute of Technology,Navi Mumbai,2017
816,Tata Consultancy Services,Ramrao Adik Institute of Technology,Navi Mumbai,2017
817,Cap-Gemini,Ramrao Adik Institute of Technology,Navi Mumbai,2017
818,Tech-Mahindra,Ramrao Adik Institute of Technology,Navi Mumbai,2017
819,Protegrity,Ramrao Adik Institute of Technology,Navi Mumbai,2017
820,Zycus,Ramrao Adik Institute of Technology,Navi Mumbai,2017
821,Majesco,Ramrao Adik Institute of Technology,Navi Mumbai,2017
822,Ingram Micro,Ramrao Adik Institute of Technology,Navi Mumbai,2017
823,Reliance Jio,Ramrao Adik Institute of Technology,Navi Mumbai,2017
824,L&T Core,Ramrao Adik Institute of Technology,Navi Mumbai,2017
825,Media.Net,Ramrao Adik Institute of Technology,Navi Mumbai,2017
826,L&T Infotech,Ramrao Adik Institute of Technology,Navi Mumbai,2017
827,Alepo Technologies,Ramrao Adik Institute of Technology,Navi Mumbai,2017
828,Sciative Solution,Ramrao Adik Institute of Technology,Navi Mumbai,2017
829,Mouthshut,Ramrao Adik Institute of Technology,Navi Mumbai,2017
830,Hinduja Global Solution,Ramrao Adik Institute of Technology,Navi Mumbai,2017
831,Nucsoft,Ramrao Adik Institute of Technology,Navi Mumbai,2017
832,SMG Convonix,Ramrao Adik Institute of Technology,Navi Mumbai,2017
833,ATOS India Ltd,Ramrao Adik Institute of Technology,Navi Mumbai,2017
834,Teradata,Ramrao Adik Institute of Technology,Navi Mumbai,2017
835,Bitwise,Ramrao Adik Institute of Technology,Navi Mumbai,2017
836,WisdmLabs,Ramrao Adik Institute of Technology,Navi Mumbai,2017
837,Reliance Retail,Ramrao Adik Institute of Technology,Navi Mumbai,2017
838,Mirraw Infotech,Ramrao Adik Institute of Technology,Navi Mumbai,2017
839,Reliance Jio (Bond),Ramrao Adik Institute of Technology,Navi Mumbai,2017
840,Indian Navy,Ramrao Adik Institute of Technology,Navi Mumbai,2017
841,Asahi Float Glass,Ramrao Adik Institute of Technology,Navi Mumbai,2017
842,Ericsson,Ramrao Adik Institute of Technology,Navi Mumbai,2017
843,Unotech Systems,Ramrao Adik Institute of Technology,Navi Mumbai,2017
844,MaxVal Technologies,Ramrao Adik Institute of Technology,Navi Mumbai,2017
845,Home Revise,Ramrao Adik Institute of Technology,Navi Mumbai,2017
846,QAD,Ramrao Adik Institute of Technology,Navi Mumbai,2017
847,TechniFab,Ramrao Adik Institute of Technology,Navi Mumbai,2017
848,Qspiders,Ramrao Adik Institute of Technology,Navi Mumbai,2017
849,TIBCO,Ramrao Adik Institute of Technology,Navi Mumbai,2017
850,Byjus (Think & Learn),Ramrao Adik Institute of Technology,Navi Mumbai,2017
851,Supertech,Ramrao Adik Institute of Technology,Navi Mumbai,2017
852,Incognito Forensic,Ramrao Adik Institute of Technology,Navi Mumbai,2017
853,SCHNEIDER ELECTRIC,Ramrao Adik Institute of Technology,Navi Mumbai,2017
854,Ubisoft,Ramrao Adik Institute of Technology,Navi Mumbai,2017
855,Banner Engineering,Ramrao Adik Institute of Technology,Navi Mumbai,2017
856,Accenture,Ramrao Adik Institute of Technology,Navi Mumbai,2017
857,Supertech Pvt. Ltd.,Ramrao Adik Institute of Technology,Navi Mumbai,2018
858,Syntel,Ramrao Adik Institute of Technology,Navi Mumbai,2018
859,TCS,Ramrao Adik Institute of Technology,Navi Mumbai,2018
860,TERADATA,Ramrao Adik Institute of Technology,Navi Mumbai,2018
861,TIAA,Ramrao Adik Institute of Technology,Navi Mumbai,2018
862,TIBCO Software,Ramrao Adik Institute of Technology,Navi Mumbai,2018
863,TIME,Ramrao Adik Institute of Technology,Navi Mumbai,2018
864,Ugam Solutions,Ramrao Adik Institute of Technology,Navi Mumbai,2018
865,Acrotrend,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
866,Cocacola,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
867,Bitwise,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
868,Bluestar Ltd,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
869,Sterling Wilson,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
870,Sanmar Group,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
871,Prototech,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
872,Torrent Power,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
873,Zeus Learning,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
874,Reliance Jio,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
875,Nucsoft,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
876,Quinnox,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
877,RAVE,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
878,Infinite Computing,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
879,eClerx,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
880,Gajshield,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
881,QAD,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
882,Infogain,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
883,Reliance Retail,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
884,Maple Digital,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
885,Stellar,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
886,Tessaract Global,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
887,Interact CRM,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
888,Primetal,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
889,Rein Labs,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
890,ACS international,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
891,Kotak Insurance,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
892,Atomberg,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
893,Nikhil Comfort,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
894,ALEPO,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
895,Gujrat Sidhee Cement,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
896,Reliance Com,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
897,Byju (Think&Learn),LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
898,Dmart,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2018
899,Adarsh Electrical,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
900,Virtusa Polaris,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
901,Neosoft,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
902,Mineman System,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
903,Syntel,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
904,eTouch System,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
905,Square One,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
906,Rivigo,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
907,Trikona Infinite,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
908,OustFire Safety,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
909,Toshiba Elevators,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
910,Balmer Lawrie-Tri-  sure,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
911,Vidcast,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
912,Anil Verma &   Associates,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
913,Kruger India,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
914,Cosmos Group,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
915,Hexaware,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
916,Ozone AC,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
917,Global Capo,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
918,Here Solutions,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
919,Ericsson,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
920,Geekay Infotech,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
921,L&T Infotech,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
922,GEP Solution,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
923,Polfrost Aircon,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2017
924,L&T Infotech,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
925,Fiserv,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
926,Rustomjee,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
927,Sanmar Group,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
928,Vistaar,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
929,Infogain Corp(MCA),LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
930,Allerin,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
931,Bitwise,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
932,Suderland,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
933,Acrotrend,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
934,Polaris,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
935,TCRC,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
936,Zeus learning,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
937,QAD,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
938,Pentair,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
939,Torrent Power,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
940,Syntel,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
941,Nucsoft,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
942,Indus tower,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
943,Control Print,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
944,Neosoft,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
945,TCS,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
946,Reliance Retail,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
947,Allerin (Jr.Dev),LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
948,Synergy Consultant,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
949,A-eberle,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
950,Intelegain,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
951,Infogain Corp (BE),LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
952,Energy system,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
953,Wasan Group,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
954,Systenics,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
955,Orient technologies,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
956,Flipkart-Instakart,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
957,Here solutions,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
958,Bharat wires & ropes  NA,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
959,Reliance Jio,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
960,VVF,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
961,XL dynamics,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
962,Orange Business,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
963,Rein Labs,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
964,HCL Technologies,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
965,J Group Robotics,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
966,MPIL,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
967,CAV Aero LLP,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
968,Trekbin,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
969,Quinnox,LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
970,Mahindra (Sales),LOKMANYA TILAK COLLEGE OF ENGINEERING,Navi Mumbai,2016
971,Aliyance Future Expereince Technologies,Veermata Jijabai Technological Institute,Mumbai,2018
972,Amazon Development Centre Ltd.- C S A,Veermata Jijabai Technological Institute,Mumbai,2018
973,Bank Of America,Veermata Jijabai Technological Institute,Mumbai,2018
974,Barclays Bank Plc,Veermata Jijabai Technological Institute,Mumbai,2018
975,Bharti Airtel Ltd.,Veermata Jijabai Technological Institute,Mumbai,2018
976,Capgemini Consulting India P. Ltd.,Veermata Jijabai Technological Institute,Mumbai,2018
977,Citius Tech Inc,Veermata Jijabai Technological Institute,Mumbai,2018
978,Deloitte Consulting India P. Ltd. (usi),Veermata Jijabai Technological Institute,Mumbai,2018
979,Dow Chemical International P. Ltd.,Veermata Jijabai Technological Institute,Mumbai,2018
980,Godrej & Boyce Mfg.Co.Ltd.,Veermata Jijabai Technological Institute,Mumbai,2018
981,Infosys Ltd,Veermata Jijabai Technological Institute,Mumbai,2018
982,Kal Atm Software Pvt Ltd.,Veermata Jijabai Technological Institute,Mumbai,2018
983,Larsen And Toubro Ltd,Veermata Jijabai Technological Institute,Mumbai,2018
984,Lodha Group Of Companies,Veermata Jijabai Technological Institute,Mumbai,2018
985,Nomura Services India P. Ltd.,Veermata Jijabai Technological Institute,Mumbai,2018
986,Oracle Financial Services,Veermata Jijabai Technological Institute,Mumbai,2018
987,Price Water House,Veermata Jijabai Technological Institute,Mumbai,2018
988,Reliance Industries Ltd,Veermata Jijabai Technological Institute,Mumbai,2018
989,Samsung Research India- R & D,Veermata Jijabai Technological Institute,Mumbai,2018
990,Stryker Global Technology P.ltd.,Veermata Jijabai Technological Institute,Mumbai,2018
991,Trident Group(abhishek Industries),Veermata Jijabai Technological Institute,Mumbai,2018
992,Ubs Software,Veermata Jijabai Technological Institute,Mumbai,2018
993,Varroc Group,Veermata Jijabai Technological Institute,Mumbai,2018
994,Wellknown Polysters,Veermata Jijabai Technological Institute,Mumbai,2018
995,Wipro Technologies Ltd.,Veermata Jijabai Technological Institute,Mumbai,2018
996,Rakuten,Veermata Jijabai Technological Institute,Mumbai,2017
997,Google,Veermata Jijabai Technological Institute,Mumbai,2017
998,Microsoft,Veermata Jijabai Technological Institute,Mumbai,2017
999,Adobe Systems,Veermata Jijabai Technological Institute,Mumbai,2017
1000,Epic Systems,Veermata Jijabai Technological Institute,Mumbai,2017
1001,Cognizant,Veermata Jijabai Technological Institute,Mumbai,2017
1002,L & T Infotech,Veermata Jijabai Technological Institute,Mumbai,2017
1003,Infosys,Veermata Jijabai Technological Institute,Mumbai,2017
1004,L & T,Veermata Jijabai Technological Institute,Mumbai,2017
1005,IBM India,Veermata Jijabai Technological Institute,Mumbai,2017
1006,Godrej & Boyce,Veermata Jijabai Technological Institute,Mumbai,2017
1007,Oracle Financial Ser.,Veermata Jijabai Technological Institute,Mumbai,2017
1008,Deloitte Consulting,Veermata Jijabai Technological Institute,Mumbai,2017
1009,Citius Tech,Veermata Jijabai Technological Institute,Mumbai,2017
1010,Cisco Systems,Veermata Jijabai Technological Institute,Mumbai,2017
1011,Rakuten,Veermata Jijabai Technological Institute,Mumbai,2015
1012,Internet Business Japan,Veermata Jijabai Technological Institute,Mumbai,2015
1013,Microsoft,Veermata Jijabai Technological Institute,Mumbai,2015
1014,Morgan Stanley,Veermata Jijabai Technological Institute,Mumbai,2015
